question	answer	note	category
あなたの趣味は何ですか？その趣味を始めたきっかけや魅力について教えてください。	My hobby is playing the guitar. I started when I was in high school after watching a live concert. I love how it allows me to express my emotions through music.	express emotions through music（音楽を通して感情を表現する）, live concert（ライブコンサート）	daily-conversation
休日は通常どのように過ごしますか？理想的な休日について説明してください。	On weekends, I usually catch up on sleep and meet friends for brunch. My ideal day off would be hiking in nature followed by a quiet evening reading a good book.	catch up on sleep（睡眠不足を解消する）, brunch（朝食と昼食を兼ねた食事）	daily-conversation
あなたの故郷について教えてください。どんな場所ですか？	I'm from a small coastal town with beautiful beaches and friendly locals. What makes it special is the relaxed pace of life and the stunning sunsets over the ocean.	coastal town（沿岸の町）, pace of life（生活のペース）	daily-conversation
将来の目標や夢について教えてください。	My dream is to start my own business in sustainable fashion. I'm currently learning about eco-friendly materials and hope to launch my first collection within five years.	sustainable fashion（持続可能なファッション）, eco-friendly materials（環境に優しい素材）	daily-conversation
最近読んだ本や観た映画で印象に残っているものはありますか？	I recently watched a thought-provoking documentary about climate change. It opened my eyes to how our daily choices impact the environment and inspired me to make some lifestyle changes.	thought-provoking（考えさせられる）, impact the environment（環境に影響を与える）	daily-conversation
あなたの長所と短所は何ですか？	My strength is my attention to detail, which helps me excel in my work. However, I tend to overthink decisions sometimes, which can lead to unnecessary stress.	attention to detail（細部への注意）, overthink（考えすぎる）	daily-conversation
あなたの好きな料理は何ですか？自分で料理をすることはありますか？	I love Italian cuisine, especially homemade pasta. I enjoy cooking on weekends and have been experimenting with different recipes. There's something satisfying about creating a delicious meal from scratch.	homemade（手作りの）, from scratch（一から作る）	daily-conversation
今までで一番印象に残っている旅行はどこですか？その理由も教えてください。	My most memorable trip was to Kyoto during cherry blossom season. The combination of ancient temples, beautiful gardens, and the ephemeral beauty of the blossoms created an almost magical atmosphere.	ephemeral beauty（はかない美しさ）, magical atmosphere（魔法のような雰囲気）	daily-conversation
仕事やスタディにおいて、ストレスにどのように対処していますか？	When I'm stressed, I practice mindfulness meditation and take short walks outside. Breaking large tasks into smaller, manageable steps also helps me avoid feeling overwhelmed.	mindfulness meditation（マインドフルネス瞑想）, manageable steps（管理しやすい段階）	daily-conversation
環境問題についてどう思いますか？日常生活で環境に配慮した行動をしていますか？	I believe climate change is one of the most pressing issues we face today. In my daily life, I try to reduce waste by using reusable items and choosing public transportation whenever possible.	pressing issues（差し迫った問題）, reduce waste（廃棄物を減らす）	daily-conversation
天気が良い日は普段何をしますか？	When the weather is nice, I like to take a long walk in the park and listen to podcasts. It helps me clear my mind before the week starts.	clear my mind（頭をすっきりさせる）, podcast（ポッドキャスト）	daily-conversation
通勤時間はどのように過ごしていますか？	I usually read an e-book on the train and sometimes review my schedule for the day. It makes the ride feel productive.	e-book（電子書籍）, productive（生産的な）	daily-conversation
朝食は毎日食べますか？好きなメニューは何ですか？	Yes, I never skip breakfast. My favorite is oatmeal with fresh fruit because it's quick and keeps me full until lunch.	skip breakfast（朝食を抜く）, keep me full（満腹感を保つ）	daily-conversation
最近ハマっているテレビ番組はありますか？	I've been hooked on a crime drama series lately. The plot twists keep me guessing every episode.	hooked on（夢中になっている）, plot twist（どんでん返し）	daily-conversation
週末の予定は何かありますか？	I'm planning to visit a flea market on Saturday and meet up with friends for dinner. Sunday will be for relaxing at home.	flea market（蚤の市）, meet up with friends（友達と会う）	daily-conversation
運動習慣について教えてください。	I go to the gym three times a week and do a mix of cardio and weight training. It helps me stay energetic.	weight training（筋力トレーニング）, stay energetic（エネルギッシュでいる）	daily-conversation
新しい技術で興味があるものはありますか？	I'm fascinated by AI-powered translation apps. They make communication so much easier when traveling.	AI-powered（AI搭載の）, communication（コミュニケーション）	daily-conversation
外国語を勉強する方法でおすすめはありますか？	I think immersing yourself in the language through movies and daily practice works best. Consistency is key.	immerse oneself（没頭する）, consistency（継続性）	daily-conversation
コーヒーと紅茶どちらが好きですか？	I'm definitely a coffee person. A cup of freshly brewed coffee is the perfect way to start my morning.	freshly brewed（淹れたての）, coffee person（コーヒー派）	daily-conversation
ペットを飼っていますか？	Yes, I have a friendly golden retriever who loves playing fetch. Walking him every evening keeps me active.	golden retriever（ゴールデンレトリバー）, playing fetch（取ってこい遊び）	daily-conversation
最近参加したイベントはありますか？	I attended a live jazz concert last weekend. The atmosphere was electric and the musicians were incredible.	live jazz concert（ジャズの生演奏）, electric atmosphere（熱気のある雰囲気）	daily-conversation
お気に入りのアプリは何ですか？	I rely on a budgeting app that tracks my expenses automatically. It really helps me save money.	budgeting app（家計管理アプリ）, track expenses（支出を追跡する）	daily-conversation
自宅でリラックスする方法は？	I light a scented candle and read a novel before bed. It creates a calm mood and helps me unwind.	scented candle（香り付きキャンドル）, unwind（リラックスする）	daily-conversation
友達の誕生日には何をしますか？	I usually bake a homemade cake and organize a small surprise party. Personal touches make it memorable.	homemade cake（手作りケーキ）, surprise party（サプライズパーティー）	daily-conversation
普段の買い物はオンラインと店舗どちらが多いですか？	I shop online for most items because it's convenient, but I still enjoy visiting local stores for fresh produce.	convenient（便利な）, fresh produce（新鮮な農産物）	daily-conversation
好きな季節とその理由は？	I love autumn for its cool weather and colorful leaves. It feels like a fresh start after the hot summer.	colorful leaves（色づいた葉）, fresh start（新たな始まり）	daily-conversation
早起き派ですか夜型ですか？	I'm an early bird. Waking up before sunrise gives me quiet time to plan my day.	early bird（早起きの人）, before sunrise（日の出前に）	daily-conversation
最近学んだ新しいスキルは？	I learned basic photo editing to enhance pictures for social media. It's fun to see the transformation.	photo editing（写真編集）, enhance（向上させる）	daily-conversation
普段どのくらいSNSを利用しますか？	I check social media a few times a day, mainly to stay in touch with friends abroad. I try to limit my screen time.	stay in touch（連絡を取り合う）, screen time（画面を見る時間）	daily-conversation
仕事や勉強がうまくいかないときどうしますか？	I take a short break and do some stretching, then tackle the task from a different angle.	tackle the task（課題に取り組む）, from a different angle（別の角度から）	daily-conversation
最近食べておいしかった料理は？	I tried spicy Korean fried chicken last night and it was amazing. The sauce had the perfect balance of sweet and heat.	spicy（辛い）, balance of sweet and heat（甘さと辛さのバランス）	daily-conversation
普段使っている交通手段は？	I mostly rely on the subway because it's punctual and avoids traffic jams.	punctual（時間通りの）, traffic jam（交通渋滞）	daily-conversation
好きな映画ジャンルは？	I enjoy feel-good comedies that make me laugh and relax after a long day.	feel-good comedy（心温まるコメディ）, relax after a long day（長い一日の後にリラックスする）	daily-conversation
旅行先を選ぶときの基準は？	I look for places with rich culture and good local food. Budget and travel time also matter.	rich culture（文化が豊かな）, local food（地元料理）	daily-conversation
ストレス解消におすすめのアクティビティは？	I recommend trying a short yoga session followed by deep breathing. It resets both body and mind.	deep breathing（深呼吸）, reset（リセットする）	daily-conversation
お気に入りの本のジャンルは？	I love historical fiction because it blends real events with compelling stories.	historical fiction（歴史小説）, compelling stories（引き込まれる物語）	daily-conversation
音楽を聴くときのこだわりは？	I prefer using noise-canceling headphones so I can focus on the details of the music.	noise-canceling headphones（ノイズキャンセリングヘッドホン）, focus on details（細部に集中する）	daily-conversation
友達との約束に遅れそうなときどうしますか？	I send a quick text to let them know my situation and give an estimated arrival time.	estimated arrival time（到着予定時刻）, send a quick text（手短にメッセージを送る）	daily-conversation
デジタルデトックスをしたことはありますか？	Yes, I spent a weekend offline in the countryside. It was refreshing to disconnect and enjoy nature.	digital detox（デジタル断ち）, disconnect（切り離す）	daily-conversation
理想的な1日の終わり方は？	I like to write a short journal entry and list things I'm grateful for before sleeping. It ends the day on a positive note.	journal entry（日記の記録）, positive note（前向きな気持ち）	daily-conversation
運動習慣について教えてください。	I go to the gym three times a week and do a mix of cardio and weight training. It helps me stay energetic.	weight training（筋力トレーニング）, stay energetic（エネルギッシュでいる）	business
新しい技術で興味があるものはありますか？	I'm fascinated by AI-powered translation apps. They make communication so much easier when traveling.	AI-powered（AI搭載の）, communication（コミュニケーション）	business
外国語を勉強する方法でおすすめはありますか？	I think immersing yourself in the language through movies and daily practice works best. Consistency is key.	immerse oneself（没頭する）, consistency（継続性）	business
コーヒーと紅茶どちらが好きですか？	I'm definitely a coffee person. A cup of freshly brewed coffee is the perfect way to start my morning.	freshly brewed（淹れたての）, coffee person（コーヒー派）	business
ペットを飼っていますか？	Yes, I have a friendly golden retriever who loves playing fetch. Walking him every evening keeps me active.	golden retriever（ゴールデンレトリバー）, playing fetch（取ってこい遊び）	business
最近参加したイベントはありますか？	I attended a live jazz concert last weekend. The atmosphere was electric and the musicians were incredible.	live jazz concert（ジャズの生演奏）, electric atmosphere（熱気のある雰囲気）	business
お気に入りのアプリは何ですか？	I rely on a budgeting app that tracks my expenses automatically. It really helps me save money.	budgeting app（家計管理アプリ）, track expenses（支出を追跡する）	business
自宅でリラックスする方法は？	I light a scented candle and read a novel before bed. It creates a calm mood and helps me unwind.	scented candle（香り付きキャンドル）, unwind（リラックスする）	business
友達の誕生日には何をしますか？	I usually bake a homemade cake and organize a small surprise party. Personal touches make it memorable.	homemade cake（手作りケーキ）, surprise party（サプライズパーティー）	business
普段の買い物はオンラインと店舗どちらが多いですか？	I shop online for most items because it's convenient, but I still enjoy visiting local stores for fresh produce.	convenient（便利な）, fresh produce（新鮮な農産物）	business
好きな季節とその理由は？	I love autumn for its cool weather and colorful leaves. It feels like a fresh start after the hot summer.	colorful leaves（色づいた葉）, fresh start（新たな始まり）	business
早起き派ですか夜型ですか？	I'm an early bird. Waking up before sunrise gives me quiet time to plan my day.	early bird（早起きの人）, before sunrise（日の出前に）	business
最近学んだ新しいスキルは？	I learned basic photo editing to enhance pictures for social media. It's fun to see the transformation.	photo editing（写真編集）, enhance（向上させる）	business
普段どのくらいSNSを利用しますか？	I check social media a few times a day, mainly to stay in touch with friends abroad. I try to limit my screen time.	stay in touch（連絡を取り合う）, screen time（画面を見る時間）	business
仕事や勉強がうまくいかないときどうしますか？	I take a short break and do some stretching, then tackle the task from a different angle.	tackle the task（課題に取り組む）, from a different angle（別の角度から）	business
最近食べておいしかった料理は？	I tried spicy Korean fried chicken last night and it was amazing. The sauce had the perfect balance of sweet and heat.	spicy（辛い）, balance of sweet and heat（甘さと辛さのバランス）	business
普段使っている交通手段は？	I mostly rely on the subway because it's punctual and avoids traffic jams.	punctual（時間通りの）, traffic jam（交通渋滞）	business
好きな映画ジャンルは？	I enjoy feel-good comedies that make me laugh and relax after a long day.	feel-good comedy（心温まるコメディ）, relax after a long day（長い一日の後にリラックスする）	business
旅行先を選ぶときの基準は？	I look for places with rich culture and good local food. Budget and travel time also matter.	rich culture（文化が豊かな）, local food（地元料理）	business
ストレス解消におすすめのアクティビティは？	I recommend trying a short yoga session followed by deep breathing. It resets both body and mind.	deep breathing（深呼吸）, reset（リセットする）	business
お気に入りの本のジャンルは？	I love historical fiction because it blends real events with compelling stories.	historical fiction（歴史小説）, compelling stories（引き込まれる物語）	business
音楽を聴くときのこだわりは？	I prefer using noise-canceling headphones so I can focus on the details of the music.	noise-canceling headphones（ノイズキャンセリングヘッドホン）, focus on details（細部に集中する）	business
友達との約束に遅れそうなときどうしますか？	I send a quick text to let them know my situation and give an estimated arrival time.	estimated arrival time（到着予定時刻）, send a quick text（手短にメッセージを送る）	business
デジタルデトックスをしたことはありますか？	Yes, I spent a weekend offline in the countryside. It was refreshing to disconnect and enjoy nature.	digital detox（デジタル断ち）, disconnect（切り離す）	business
理想的な1日の終わり方は？	I like to write a short journal entry and list things I'm grateful for before sleeping. It ends the day on a positive note.	journal entry（日記の記録）, positive note（前向きな気持ち）	business